REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2011,40,1.16092,1.20345,3106,1765,X,3485,632,377,9365,1850,778182
National,X,2011,41,1.19785,1.23777,3317,1777,X,3667,672,370,9803,1883,791987
National,X,2011,42,1.27926,1.25259,3324,1763,X,3837,655,379,9958,1905,794995
National,X,2011,43,1.29194,1.30546,3453,1773,X,4035,657,380,10298,1900,788840
National,X,2011,44,1.42824,1.45295,3634,1957,X,4658,760,387,11396,1925,784334
National,X,2011,45,1.39803,1.44089,3949,2072,X,4348,671,456,11496,1946,797839
National,X,2011,46,1.45831,1.46221,3923,2166,X,4361,797,474,11721,1900,801594
National,X,2011,47,1.56548,1.65573,4125,1803,X,3340,679,430,10377,1918,626731
National,X,2011,48,1.34313,1.46606,4237,2059,X,3955,815,413,11479,1904,782984
National,X,2011,49,1.48139,1.51811,3995,1938,X,4040,772,442,11187,1898,736905
National,X,2011,50,1.63398,1.66429,4579,2077,X,4097,838,546,12137,1872,729258
National,X,2011,51,1.83126,1.85274,5016,2068,X,3535,818,521,11958,1851,645424
National,X,2011,52,2.10451,2.12413,5243,2315,X,3184,946,668,12356,1821,581697
National,X,2012,1,1.73625,1.76709,4514,2342,X,3393,1028,715,11992,1891,678631
National,X,2012,2,1.55066,1.5434,4059,2319,X,3636,918,611,11543,1883,747894
National,X,2012,3,1.62891,1.64762,4364,2247,X,4030,800,498,11939,1887,724623
National,X,2012,4,1.76038,1.6843,4766,2303,X,4802,825,513,13209,1891,784244
National,X,2012,5,1.92728,1.86354,5218,2415,X,5336,915,564,14448,1885,775298
National,X,2012,6,1.91994,1.86408,5028,2582,X,5555,894,565,14624,1875,784516
National,X,2012,7,2.09951,2.01839,5277,2937,X,5994,1054,667,15929,1884,789193
National,X,2012,8,2.23973,2.10385,5246,3009,X,5990,1131,761,16137,1853,767022
National,X,2012,9,2.21921,2.09555,5219,3141,X,6239,1153,766,16518,1826,788242
National,X,2012,10,2.16693,2.10398,4811,2832,X,6493,998,629,15763,1816,749198
National,X,2012,11,2.38913,2.2941,5175,3321,X,6768,1185,701,17150,1819,747570
National,X,2012,12,1.96466,1.92223,4422,2822,X,5683,988,609,14524,1780,755579
National,X,2012,13,1.84229,1.74239,3807,2485,X,5256,920,549,13017,1753,747079
National,X,2012,14,1.68674,1.67601,3582,2306,X,4631,839,572,11930,1729,711808
National,X,2012,15,1.53136,1.49637,3253,2109,X,4059,767,544,10732,1707,717202
National,X,2012,16,1.37912,1.38202,3001,1990,X,4020,719,393,10123,1699,732480
National,X,2012,17,1.29515,1.28926,2638,1831,X,3802,664,435,9370,1675,726772
National,X,2012,18,1.39521,1.35803,2509,1728,X,3671,636,455,8999,1564,662649
National,X,2012,19,1.32522,1.30833,2524,1559,X,3468,606,419,8576,1546,655492
National,X,2012,20,1.23059,1.26692,2465,1547,X,3087,588,375,8062,1503,636347
National,X,2012,21,1.23028,1.27731,2545,1461,X,3011,483,378,7878,1415,616765
National,X,2012,22,1.26877,1.2991,2480,1276,X,2601,446,350,7153,1409,550614
National,X,2012,23,1.10782,1.16297,2336,1281,X,2352,458,338,6765,1365,581700
National,X,2012,24,1.09559,1.08612,2231,1150,X,2024,428,300,6133,1289,564670
National,X,2012,25,1.11031,1.0568,2259,1119,X,1974,411,285,6048,1295,572296
National,X,2012,26,1.10616,1.07871,2168,1058,X,1850,422,288,5786,1260,536380
National,X,2012,27,1.10816,1.04662,1911,1013,X,1706,388,273,5291,1271,505533
National,X,2012,28,0.999444,0.928152,1913,964,X,1751,337,220,5185,1240,558637
National,X,2012,29,0.924199,0.901936,1818,914,X,1640,318,241,4931,1223,546713
National,X,2012,30,0.949257,0.915356,1752,975,X,1721,372,283,5103,1250,557488
National,X,2012,31,0.978903,0.952548,1728,1050,X,1706,408,267,5159,1240,541600
National,X,2012,32,0.925024,0.916661,1660,989,X,1718,375,284,5026,1248,548294
National,X,2012,33,0.848456,0.901787,1721,986,X,1755,357,232,5051,1238,560110
National,X,2012,34,1.04451,1.03315,2098,1194,X,2128,425,296,6141,1238,594395
National,X,2012,35,1.0986,1.05238,1958,1305,X,2335,443,277,6318,1238,600354
National,X,2012,36,1.22071,1.12713,1886,1317,X,2294,481,318,6296,1242,558585
National,X,2012,37,1.24976,1.1866,2176,1408,X,2870,513,415,7382,1252,622114
National,X,2012,38,1.22892,1.21415,2295,1530,X,2972,511,348,7656,1268,630563
National,X,2012,39,1.29393,1.25198,2421,1546,X,2867,575,398,7807,1248,623572