REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2018,40,16492,218,69,1.74024,1.32185,0.418385
National,X,2018,41,17980,222,81,1.68521,1.23471,0.450501
National,X,2018,42,20128,311,89,1.98728,1.54511,0.44217
National,X,2018,43,21302,337,98,2.04206,1.58201,0.460051
National,X,2018,44,22281,389,98,2.18572,1.74588,0.439837
National,X,2018,45,23304,543,95,2.73773,2.33007,0.407655
National,X,2018,46,24288,667,99,3.15382,2.74621,0.407609
National,X,2018,47,24511,893,72,3.93701,3.64326,0.293746
National,X,2018,48,28063,998,103,3.92332,3.55628,0.367031
National,X,2018,49,28835,1658,147,6.25975,5.74996,0.509797
National,X,2018,50,32892,3235,188,10.4068,9.83522,0.571568
National,X,2018,51,38138,5282,179,14.3191,13.8497,0.469348
National,X,2018,52,43057,6835,231,16.4108,15.8743,0.536498
National,X,2019,1,44050,5221,135,12.1589,11.8524,0.30647
National,X,2019,2,40046,4851,209,12.6355,12.1136,0.5219
National,X,2019,3,40280,6334,168,16.142,15.7249,0.41708
National,X,2019,4,42324,7881,228,19.1593,18.6206,0.538701