states,Freq,activity level
Alabama,25,3
Alberta,1,1
Arizona,5,1
Arkansas,33,4
California,60,6
Clarendon,13,2
Colorado,45,5
Connecticut,27,3
Delaware,12,2
District of Columbia,41,5
England,13,2
Florida,146,9
Georgia,99,8
Idaho,6,1
Illinois,106,9
Indiana,50,5
Iowa,21,3
Kansas,60,6
Kentucky,53,6
Louisiana,12,2
Maine,6,1
Maryland,58,6
Massachusetts,63,7
Mexico City,1,1
Michigan,39,4
Minnesota,27,3
Mississippi,17,2
Missouri,65,7
Nebraska,13,2
Nevada,11,2
New Hampshire,15,2
New Jersey,51,6
New Mexico,7,1
New York,248,10
North Carolina,89,8
Ohio,123,9
Oklahoma,42,5
Oregon,13,2
Pennsylvania,109,9
Rhode Island,8,1
South Carolina,41,5
South Dakota,2,1
Tennessee,90,8
Texas,71,7
Utah,21,3
Vermont,6,1
Virginia,59,6
Washington,14,2
West Virginia,16,2
Wisconsin,35,4
Wyoming,6,1